code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
VEGE0036-2,0.0,{},127,['Guy\xa0Mergeai'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENVT3056-1,0.0,{},128,"['Bernard\xa0Tychon', 'Bernard\xa0Tychon']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON2299-1,0.0,{},129,"['Yves\xa0Brostaux', 'Catherine\xa0Charles', 'Thomas\xa0Dogot']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATH0013-1,0.0,{},130,['Eric\xa0Delhez'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATH0070-1,0.0,{},131,['Michel\xa0Rigo'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATH0489-1,0.0,{},132,['Pierre\xa0Mathonet'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFO0212-2,0.0,{},133,['Emilie\xa0Charlier'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HULG2012-2,0.0,{},134,['Patrick\xa0Kestemont'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HULG9509-1,0.0,{},135,[''],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG0030-2,0.0,{},136,"['Françoise\xa0Carl', 'Françoise\xa0Carl']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LANG0030-1,0.0,{},137,['Françoise\xa0Carl'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NUTR1001-1,0.0,{},138,"['Véronique\xa0Delcenserie', 'Marie-Louise\xa0Scippo']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1917-1,0.0,{},139,['Laurent\xa0Gianotti'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1905-1,0.0,{},140,['Marie\xa0Mawhin'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1909-1,0.0,{},141,['Marie\xa0Mawhin'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG3997-1,0.0,{},142,['Françoise\xa0Carl'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LANG1925-1,0.0,{},143,['Marie\xa0Mawhin'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG2005-1,0.0,{},144,['Laurent\xa0Gianotti'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1938-1,0.0,{},145,['Marie\xa0Mawhin'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATH7369-1,0.0,{},146,"['Julien\xa0Leroy', 'Julien\xa0Leroy', 'Michel\xa0Rigo']",0.0,{},0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LANG3998-1,0.0,{},147,['Françoise\xa0Carl'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LANG1910-1,0.0,{},148,['Laurent\xa0Gianotti'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1918-1,0.0,{},149,['Marie\xa0Mawhin'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1926-1,0.0,{},150,['Laurent\xa0Gianotti'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG1945-1,0.0,{},151,['Laurent\xa0Gianotti'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
